epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1704.08,0.62639,0.58449,1.13839,0.67391,0.56232,0.59717,0.47297,0.74242,1.17059,1.18239,4.0988e-05,4.0988e-05,4.0988e-05
2,3397.86,0.68114,0.72296,1.18313,0.67536,0.55104,0.59764,0.47208,0.75016,1.18562,1.20223,7.38712e-05,7.38712e-05,7.38712e-05
3,4303.88,0.70826,0.76477,1.20418,0.65296,0.57645,0.59999,0.46632,0.77322,1.23742,1.22762,9.86364e-05,9.86364e-05,9.86364e-05
4,5713.76,0.70545,0.74687,1.20396,0.65202,0.57649,0.60681,0.47218,0.76783,1.21203,1.21615,8.6469e-05,8.6469e-05,8.6469e-05
5,7882.02,0.67869,0.68094,1.17946,0.71028,0.58189,0.6262,0.49624,0.7514,1.16193,1.19861,7.4292e-05,7.4292e-05,7.4292e-05
6,9620.61,0.64826,0.61441,1.15748,0.66625,0.59693,0.61324,0.49134,0.72863,1.19176,1.1865,6.2115e-05,6.2115e-05,6.2115e-05
7,11237.6,0.62115,0.55026,1.13696,0.7,0.60393,0.64021,0.51724,0.71675,1.10834,1.17736,4.9938e-05,4.9938e-05,4.9938e-05
8,12849.9,0.59861,0.49745,1.11135,0.71542,0.63125,0.6731,0.53749,0.73456,1.08023,1.19027,3.7761e-05,3.7761e-05,3.7761e-05
9,14565.3,0.57195,0.44553,1.09296,0.75139,0.62085,0.68319,0.55606,0.69602,1.0325,1.15362,2.5584e-05,2.5584e-05,2.5584e-05
10,15962.7,0.54616,0.40474,1.07287,0.76,0.63535,0.68623,0.56114,0.68234,0.99104,1.14368,1.3407e-05,1.3407e-05,1.3407e-05
